Ata 4D,Resumen
510,TIME LIMITS / MAINT CHECKS
511,TIME LIMITS / MAINT CHECKS
0520A,DESINFECTION  
0520B,SMELL STRANGE  ODOR 
0550A,VIBRATION
0550B,HARD LANDING
0550C,FOD BIRD STRIKE
0550D,FOD LIGHTINING STRIKE
0550E,FOD EXTERNAL STRIKE
0550F,OVERSPEED
0550G,OVERLOAD
0550H,FOD KNOB INST AND PANELS
0550I,FOD TURBULANCE
1010,PITOT COVERS
12,STORAGE
1100,REQUIRED PLACARDS
1110,EXTERIOR COLOR SCHEMES AND MARKINGS
1121,PLACARD FUSELAGE
1122,L.G PLACARD
1123,PLACARD WINGS
1124,PYLON AND COWL DOORS
1131,COCKPIT
1132,CABIN PLACARD
1133,AVIONICS COMPARTMENTS
1134,NOSE AND MAIN LANDING GEAR WELLS
1135,FWD CARGO COMPARTMENT
1136,AFT CARGO COMPARTMENT
1137,"WING, REAR FUSELAGE AND TAIL SECTIONS"
1138,RADOME
1210,DOCUMENT
1210,DOCUMENT
1211,FUEL
1212,HYDRAULIC
1213,OIL
1214,GAS
1215,POTABLE WATER SYSTEM
1216,LAVATORY AND GALLEY
1217,RAIN REPELLENT
1220,SCHEDULED SERVICING
1221,CLEANING
1222,LUBRICATION
1224,DRAINAGE
1230,UNSCHEDULED SERVICING
1231,AIRCRAFT PROTECTION
1232,SAMPLING FOR ANALYSIS
1233,PRE-CONDITION
1234,GROUNDING POINTS
1236,SYSTEM LINE FLUSHING
2010,SAFETY PRACTICES
2011,WIRELOCKING
2015,ELECTROSTATIC DISCHARGE SENSITIVE DEVICE
2016,CIRCUIT BREAKERS
2021,STANDARD TORQUES
2022,STA-LOK FASTENERS
2023,LINES
2024,CONTROL CABLES AND PULLEYS
2026,INSTALLATION OF EXPANSION JOINTS
2027,ELECTRICAL CABLES AND BUNDLES
2028,ELECTRICAL BONDING
2029,O-RING INSTALLATION
2100,AIR CONDITIONING
2120,DISTRIBUTION 
2121,AIR DISTRIBUTION AND RECIRCULATION
2123,LAVATORY/GALLEY VENT
2124,AIR DISTRIBUTION VENT
2126,VENT AVNCS
2128,VENT CARGO
2130,CAB PR SYS CTRL
2131,CAB PR SYS CTRL
2150,AIR COOLING
2151,AIR PACK & FLOW CTRL  
2152,AIR COOLING SYS
2155,EMERGENCY RAM AIR INLET
2158,FUEL INERT
2160,TEMP CTL SYS
2161,AIR PACK REG
2163,TEMP CTL SYS
2200,AUTO FLIGHT
2210,CAT/ RNP/RNA
2211,AP SYST
2212,CRUISE MODES
